# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776559288475000000,1776559348483000000,101519
DirectByteBufferAllocator.reclaimed,1776559288475000000,1776559348483000000,3
StorageLockContext.competingThreads.avg,1776559288475000000,1776559348483000000,0.0
FilePageCache.capacityInBytes,1776559288475000000,1776559348483000000,524288000
DirectByteBufferAllocator.disposed,1776559288475000000,1776559348483000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776559288475000000,1776559348483000000,273719296
StorageLockContext.competingThreads.90P,1776559288475000000,1776559348483000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776559288475000000,1776559348483000000,364475
DirectByteBufferAllocator.misses,1776559288475000000,1776559348483000000,257
FilePageCache.pageLoadsAboveSizeThreshold,1776559288475000000,1776559348483000000,0
FilePageCache.pageHits,1776559288475000000,1776559348483000000,0
FilePageCache.pageFastCacheHits,1776559288475000000,1776559348483000000,21729
StreamlinedBlobStorage.recordsAllocated,1776559288475000000,1776559348483000000,5151
StorageLockContext.competingThreads.max,1776559288475000000,1776559348483000000,0
StreamlinedBlobStorage.recordsRelocated,1776559288475000000,1776559348483000000,0
FilePageCache.maxRegisteredFiles,1776559288475000000,1776559348483000000,651
FilePageCache.maxCacheSizeInBytes,1776559288475000000,1776559348483000000,273719296
FilePageCache.pageLoads,1776559288475000000,1776559348483000000,260
FilePageCache.totalPageLoadsUs,1776559288475000000,1776559348483000000,107973
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776559288475000000,1776559348483000000,0
FilePageCache.disposedBuffers,1776559288475000000,1776559348483000000,3
DirectByteBufferAllocator.hits,1776559288475000000,1776559348483000000,3
StreamlinedBlobStorage.recordsDeleted,1776559288475000000,1776559348483000000,0
FilePageCache.uncachedFileAccess,1776559288475000000,1776559348483000000,149
FilePageCache.totalPageDisposalsUs,1776559288475000000,1776559348483000000,322
AWTEventQueue.dispatchTime90PNs,1776559288475000000,1776559348483000000,236543
FlushQueue.waitingTimeAvgNs,1776559288475000000,1776559348483000000,4.490672590165716E7
FlushQueue.queueSizeMax,1776559288475000000,1776559348483000000,197
AWTEventQueue.dispatchTimeAvgNs,1776559288475000000,1776559348483000000,536673.0683898762
NonBlockingReadAction.finalizedExecutionTimeUs,1776559288475000000,1776559348483000000,573841
AWTEventQueue.dispatchTimeTotalNS,1776559288475000000,1776559348483000000,4983629604
FlushQueue.executionTimeMaxNs,1776559288475000000,1776559348483000000,316669951
FlushQueue.tasksExecuted,1776559288475000000,1776559348483000000,3681
FlushQueue.queueSizeAvg,1776559288475000000,1776559348483000000,31.208910622113557
FlushQueue.executionTime90PNs,1776559288475000000,1776559348483000000,270335
NonBlockingReadAction.finalizedExecutionsCount,1776559288475000000,1776559348483000000,85
FlushQueue.waitingTime90PNs,1776559288475000000,1776559348483000000,177209343
FlushQueue.waitingTimeMaxNs,1776559288475000000,1776559348483000000,952107007
NonBlockingReadAction.failedExecutionTimeUs,1776559288475000000,1776559348483000000,19975
AWTEventQueue.eventsDispatched,1776559288475000000,1776559348483000000,9285
NonBlockingReadAction.failedExecutionsCount,1776559288475000000,1776559348483000000,1
FlushQueue.executionTimeAvgNs,1776559288475000000,1776559348483000000,571860.5028524857
AWTEventQueue.dispatchTimeMaxNs,1776559288475000000,1776559348483000000,935329791
FlushQueue.queueSize90P,1776559288475000000,1776559348483000000,113
JVM.maxNativeBytes,1776559288475000000,1776559348483000000,-1
JVM.GC.collectionTimesMs,1776559288475000000,1776559348483000000,65
JVM.usedNativeBytes,1776559288475000000,1776559348483000000,348794232
JVM.totalCpuTimeMs,1776559288475000000,1776559348483000000,28904
JVM.GC.collections,1776559288475000000,1776559348483000000,24
