# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTime90PNs,1776552799166000000,1776552859201000000,475135
AWTEventQueue.dispatchTime90PNs,1776552799166000000,1776552859201000000,704511
AWTEventQueue.eventsDispatched,1776552799166000000,1776552859201000000,5895
FlushQueue.executionTimeMaxNs,1776552799166000000,1776552859201000000,285212671
FlushQueue.waitingTimeMaxNs,1776552799166000000,1776552859201000000,981467135
NonBlockingReadAction.failedExecutionTimeUs,1776552799166000000,1776552859201000000,46543
NonBlockingReadAction.finalizedExecutionsCount,1776552799166000000,1776552859201000000,95
NonBlockingReadAction.finalizedExecutionTimeUs,1776552799166000000,1776552859201000000,818716
AWTEventQueue.dispatchTimeTotalNS,1776552799166000000,1776552859201000000,8669962976
AWTEventQueue.dispatchTimeMaxNs,1776552799166000000,1776552859201000000,989855743
FlushQueue.queueSizeAvg,1776552799166000000,1776552859201000000,24.977571291252804
FlushQueue.tasksExecuted,1776552799166000000,1776552859201000000,3121
NonBlockingReadAction.failedExecutionsCount,1776552799166000000,1776552859201000000,4
FlushQueue.waitingTime90PNs,1776552799166000000,1776552859201000000,427819007
FlushQueue.queueSizeMax,1776552799166000000,1776552859201000000,149
FlushQueue.waitingTimeAvgNs,1776552799166000000,1776552859201000000,1.0530985029029158E8
FlushQueue.queueSize90P,1776552799166000000,1776552859201000000,92
AWTEventQueue.dispatchTimeAvgNs,1776552799166000000,1776552859201000000,1470702.9645462255
FlushQueue.executionTimeAvgNs,1776552799166000000,1776552859201000000,1093729.679589875
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776552799166000000,1776552859201000000,101515
DirectByteBufferAllocator.reclaimed,1776552799166000000,1776552859201000000,18
FilePageCache.totalPageLoadsUs,1776552799166000000,1776552859201000000,218818
FilePageCache.pageFastCacheHits,1776552799166000000,1776552859201000000,22592
StreamlinedBlobStorage.recordsRelocated,1776552799166000000,1776552859201000000,0
StorageLockContext.competingThreads.max,1776552799166000000,1776552859201000000,6
FilePageCache.capacityInBytes,1776552799166000000,1776552859201000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1776552799166000000,1776552859201000000,0
DirectByteBufferAllocator.hits,1776552799166000000,1776552859201000000,18
FilePageCache.disposedBuffers,1776552799166000000,1776552859201000000,18
StorageLockContext.competingThreads.90P,1776552799166000000,1776552859201000000,0
DirectByteBufferAllocator.misses,1776552799166000000,1776552859201000000,259
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776552799166000000,1776552859201000000,364475
FilePageCache.maxRegisteredFiles,1776552799166000000,1776552859201000000,651
DirectByteBufferAllocator.disposed,1776552799166000000,1776552859201000000,0
FilePageCache.pageLoads,1776552799166000000,1776552859201000000,277
FilePageCache.uncachedFileAccess,1776552799166000000,1776552859201000000,164
FilePageCache.pageHits,1776552799166000000,1776552859201000000,0
StreamlinedBlobStorage.recordsAllocated,1776552799166000000,1776552859201000000,5151
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776552799166000000,1776552859201000000,0
FilePageCache.maxCacheSizeInBytes,1776552799166000000,1776552859201000000,275816448
StorageLockContext.competingThreads.avg,1776552799166000000,1776552859201000000,0.05084745762711865
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776552799166000000,1776552859201000000,275816448
FilePageCache.totalPageDisposalsUs,1776552799166000000,1776552859201000000,520
StreamlinedBlobStorage.recordsDeleted,1776552799166000000,1776552859201000000,0
FileNameCache.totalMisses,1776552799166000000,1776552859201000000,3768
FileNameCache.queries,1776552799166000000,1776552859201000000,262291
FileNameCache.fastMisses,1776552799166000000,1776552859201000000,14467
workspaceModel.orphan.listener.update.ms,1776552799166000000,1776552859201000000,2
jps.library.entities.serializer.save.entities.ms,1776552799166000000,1776552859201000000,0
jps.module.iml.entities.serializer.load.entities.ms,1776552799166000000,1776552859201000000,10
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776552799166000000,1776552859201000000,59
