# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1776555695741000000,1776555755749000000,3768
FileNameCache.fastMisses,1776555695741000000,1776555755749000000,14656
FileNameCache.queries,1776555695741000000,1776555755749000000,262043
OS.loadAverage,1776555695741000000,1776555755749000000,2.048828125
JVM.maxNativeBytes,1776555695741000000,1776555755749000000,-1
JVM.usedHeapBytes,1776555695741000000,1776555755749000000,242255816
JVM.maxHeapBytes,1776555695741000000,1776555755749000000,2147483648
JVM.totalCpuTimeMs,1776555695741000000,1776555755749000000,30120
JVM.GC.collectionTimesMs,1776555695741000000,1776555755749000000,101
JVM.usedNativeBytes,1776555695741000000,1776555755749000000,349400728
JVM.GC.collections,1776555695741000000,1776555755749000000,35
JVM.threadCount,1776555695741000000,1776555755749000000,140
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776555695741000000,1776555755749000000,364475
DirectByteBufferAllocator.disposed,1776555695741000000,1776555755749000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1776555695741000000,1776555755749000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776555695741000000,1776555755749000000,0
FilePageCache.capacityInBytes,1776555695741000000,1776555755749000000,524288000
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776555695741000000,1776555755749000000,273719296
FilePageCache.maxCacheSizeInBytes,1776555695741000000,1776555755749000000,273719296
FilePageCache.pageLoads,1776555695741000000,1776555755749000000,260
FilePageCache.totalPageLoadsUs,1776555695741000000,1776555755749000000,100345
StreamlinedBlobStorage.recordsDeleted,1776555695741000000,1776555755749000000,0
FilePageCache.maxRegisteredFiles,1776555695741000000,1776555755749000000,651
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776555695741000000,1776555755749000000,101515
FilePageCache.totalPageDisposalsUs,1776555695741000000,1776555755749000000,256
FilePageCache.pageHits,1776555695741000000,1776555755749000000,0
StorageLockContext.competingThreads.max,1776555695741000000,1776555755749000000,0
FilePageCache.pageFastCacheHits,1776555695741000000,1776555755749000000,21693
DirectByteBufferAllocator.hits,1776555695741000000,1776555755749000000,3
StreamlinedBlobStorage.recordsRelocated,1776555695741000000,1776555755749000000,0
DirectByteBufferAllocator.reclaimed,1776555695741000000,1776555755749000000,3
FilePageCache.disposedBuffers,1776555695741000000,1776555755749000000,3
FilePageCache.uncachedFileAccess,1776555695741000000,1776555755749000000,149
StreamlinedBlobStorage.recordsAllocated,1776555695741000000,1776555755749000000,5151
StorageLockContext.competingThreads.avg,1776555695741000000,1776555755749000000,0.0
DirectByteBufferAllocator.misses,1776555695741000000,1776555755749000000,257
StorageLockContext.competingThreads.90P,1776555695741000000,1776555755749000000,0
VFSFlusher.totalContentionQuotaSpent,1776555695741000000,1776555755749000000,0
VFSFlusher.totalFlushesRetried,1776555695741000000,1776555755749000000,0
Indexes.entries.lookupDurationMaxMs,1776555695741000000,1776555755749000000,4.0
Indexes.allKeys.lookups,1776555695741000000,1776555755749000000,0.0
Indexes.stubs.lookupDurationMaxMs,1776555695741000000,1776555755749000000,5.0
Indexes.entries.lookupDurationAvgMs,1776555695741000000,1776555755749000000,0.21621621621621623
Indexes.allKeys.lookupDurationAvgMs,1776555695741000000,1776555755749000000,0.0
IndexesFlusher.totalFlushesRetried,1776555695741000000,1776555755749000000,0
Indexes.entries.lookupDuration90PMs,1776555695741000000,1776555755749000000,1.0
Indexes.allKeys.lookupDuration90PMs,1776555695741000000,1776555755749000000,0.0
Indexes.stubs.lookupDurationAvgMs,1776555695741000000,1776555755749000000,0.25
IndexesFlusher.totalContentionQuotaSpent,1776555695741000000,1776555755749000000,0
Indexes.entries.lookups,1776555695741000000,1776555755749000000,37.0
VFSFlusher.totalFlushes,1776555695741000000,1776555755749000000,3
Indexes.stubs.lookupDuration90PMs,1776555695741000000,1776555755749000000,1.0
Indexes.stubs.lookups,1776555695741000000,1776555755749000000,28.0
IndexesFlusher.totalFlushingTimeUs,1776555695741000000,1776555755749000000,489093
Indexes.allKeys.lookupDurationMaxMs,1776555695741000000,1776555755749000000,0.0
IndexesFlusher.totalFlushes,1776555695741000000,1776555755749000000,58
VFSFlusher.totalFlushingTimeUs,1776555695741000000,1776555755749000000,4489
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776555695741000000,1776555755749000000,1
workspaceModel.moduleBridge.before.changed.ms,1776555695741000000,1776555755749000000,0
jps.storage.jps.conf.reader.load.component.ms,1776555695741000000,1776555755749000000,7
jps.app.storage.content.writer.save.component.ms,1776555695741000000,1776555755749000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776555695741000000,1776555755749000000,0
workspaceModel.global.apply.state.to.project.ms,1776555695741000000,1776555755749000000,12
jps.facet.change.listener.init.bridge.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776555695741000000,1776555755749000000,6
jps.save.changed.project.entities.ms,1776555695741000000,1776555755749000000,0
jps.load.initial.state.ms,1776555695741000000,1776555755749000000,2
jps.module.iml.entities.serializer.load.entities.ms,1776555695741000000,1776555755749000000,4
jps.app.storage.content.reader.load.component.ms,1776555695741000000,1776555755749000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1776555695741000000,1776555755749000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776555695741000000,1776555755749000000,0
jps.global.get.library.ms,1776555695741000000,1776555755749000000,0
workspaceModel.global.updates.count,1776555695741000000,1776555755749000000,0
jps.save.global.entities.ms,1776555695741000000,1776555755749000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1776555695741000000,1776555755749000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776555695741000000,1776555755749000000,15
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776555695741000000,1776555755749000000,145
jps.facet.change.listener.process.change.events.ms,1776555695741000000,1776555755749000000,0
jps.artifact.entities.serializer.save.entities.ms,1776555695741000000,1776555755749000000,0
jps.artifact.entities.serializer.load.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776555695741000000,1776555755749000000,0
jps.global.handle.changed.events.ms,1776555695741000000,1776555755749000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776555695741000000,1776555755749000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1776555695741000000,1776555755749000000,0
jps.global.handle.before.change.events.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776555695741000000,1776555755749000000,0
jps.load.project.to.empty.storage.ms,1776555695741000000,1776555755749000000,32
workspaceModel.moduleBridge.update.option.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.global.updates.ms,1776555695741000000,1776555755749000000,0
jps.apply.loaded.storage.ms,1776555695741000000,1776555755749000000,8
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776555695741000000,1776555755749000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1776555695741000000,1776555755749000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776555695741000000,1776555755749000000,3
jps.project.serializers.save.ms,1776555695741000000,1776555755749000000,0
workspaceModel.save.cache.to.file.ms,1776555695741000000,1776555755749000000,12
workspaceModel.moduleManagerBridge.newModule.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776555695741000000,1776555755749000000,0
jps.global.get.library.by.name.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776555695741000000,1776555755749000000,2
jps.global.initialize.library.bridges.ms,1776555695741000000,1776555755749000000,0
jps.reload.project.entities.ms,1776555695741000000,1776555755749000000,0
jps.project.serializers.load.ms,1776555695741000000,1776555755749000000,9
jps.library.entities.serializer.save.entities.ms,1776555695741000000,1776555755749000000,0
jps.facet.change.listener.before.change.events.ms,1776555695741000000,1776555755749000000,0
jps.library.entities.serializer.load.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.load.cache.from.file.ms,1776555695741000000,1776555755749000000,39
workspaceModel.orphan.listener.update.ms,1776555695741000000,1776555755749000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1776555695741000000,1776555755749000000,1
jps.global.get.libraries.ms,1776555695741000000,1776555755749000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776555695741000000,1776555755749000000,0
jps.module.iml.entities.serializer.save.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.sync.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776555695741000000,1776555755749000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1776555695741000000,1776555755749000000,41
workspaceModel.update.unloaded.entities.ms,1776555695741000000,1776555755749000000,0
workspaceModel.pre.handlers.ms,1776555695741000000,1776555755749000000,0
workspaceModel.loading.from.cache.ms,1776555695741000000,1776555755749000000,39
workspaceModel.replace.project.model.ms,1776555695741000000,1776555755749000000,0
workspaceModel.init.bridges.ms,1776555695741000000,1776555755749000000,1
workspaceModel.initializing.ms,1776555695741000000,1776555755749000000,1
workspaceModel.loading.total.ms,1776555695741000000,1776555755749000000,43
workspaceModel.collect.changes.ms,1776555695741000000,1776555755749000000,0
workspaceModel.updates.count,1776555695741000000,1776555755749000000,3
workspaceModel.updates.ms,1776555695741000000,1776555755749000000,23
workspaceModel.updates.precise.ms,1776555695741000000,1776555755749000000,10
workspaceModel.check.recursive.update.ms,1776555695741000000,1776555755749000000,0
workspaceModel.to.snapshot.ms,1776555695741000000,1776555755749000000,1
FlushQueue.waitingTimeAvgNs,1776555695741000000,1776555755749000000,3.55710354134806E7
AWTEventQueue.dispatchTimeAvgNs,1776555695741000000,1776555755749000000,501637.6645239539
AWTEventQueue.dispatchTimeMaxNs,1776555695741000000,1776555755749000000,272629759
FlushQueue.executionTime90PNs,1776555695741000000,1776555755749000000,311295
FlushQueue.tasksExecuted,1776555695741000000,1776555755749000000,3531
NonBlockingReadAction.finalizedExecutionTimeUs,1776555695741000000,1776555755749000000,725111
FlushQueue.queueSize90P,1776555695741000000,1776555755749000000,70
FlushQueue.waitingTime90PNs,1776555695741000000,1776555755749000000,143654911
NonBlockingReadAction.finalizedExecutionsCount,1776555695741000000,1776555755749000000,68
FlushQueue.executionTimeAvgNs,1776555695741000000,1776555755749000000,571600.9093741149
NonBlockingReadAction.failedExecutionTimeUs,1776555695741000000,1776555755749000000,0
AWTEventQueue.dispatchTime90PNs,1776555695741000000,1776555755749000000,294911
FlushQueue.waitingTimeMaxNs,1776555695741000000,1776555755749000000,390070271
AWTEventQueue.eventsDispatched,1776555695741000000,1776555755749000000,8245
NonBlockingReadAction.failedExecutionsCount,1776555695741000000,1776555755749000000,0
FlushQueue.executionTimeMaxNs,1776555695741000000,1776555755749000000,272629759
FlushQueue.queueSizeMax,1776555695741000000,1776555755749000000,133
FlushQueue.queueSizeAvg,1776555695741000000,1776555755749000000,17.13225715094874
AWTEventQueue.dispatchTimeTotalNS,1776555695741000000,1776555755749000000,4135152093
FileNameCache.totalMisses,1776555755749000000,1776555815747000000,0
FileNameCache.fastMisses,1776555755749000000,1776555815747000000,650
FileNameCache.queries,1776555755749000000,1776555815747000000,7624
OS.loadAverage,1776555755749000000,1776555815747000000,1.97802734375
JVM.maxNativeBytes,1776555755749000000,1776555815747000000,-1
JVM.usedHeapBytes,1776555755749000000,1776555815747000000,436242376
JVM.maxHeapBytes,1776555755749000000,1776555815747000000,2147483648
JVM.totalCpuTimeMs,1776555755749000000,1776555815747000000,6286
JVM.GC.collectionTimesMs,1776555755749000000,1776555815747000000,0
JVM.usedNativeBytes,1776555755749000000,1776555815747000000,355746208
JVM.GC.collections,1776555755749000000,1776555815747000000,0
JVM.threadCount,1776555755749000000,1776555815747000000,70
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776555755749000000,1776555815747000000,0
DirectByteBufferAllocator.disposed,1776555755749000000,1776555815747000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1776555755749000000,1776555815747000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776555755749000000,1776555815747000000,0
FilePageCache.capacityInBytes,1776555755749000000,1776555815747000000,524288000
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776555755749000000,1776555815747000000,273719296
FilePageCache.maxCacheSizeInBytes,1776555755749000000,1776555815747000000,273719296
FilePageCache.pageLoads,1776555755749000000,1776555815747000000,0
FilePageCache.totalPageLoadsUs,1776555755749000000,1776555815747000000,0
StreamlinedBlobStorage.recordsDeleted,1776555755749000000,1776555815747000000,0
FilePageCache.maxRegisteredFiles,1776555755749000000,1776555815747000000,651
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776555755749000000,1776555815747000000,0
FilePageCache.totalPageDisposalsUs,1776555755749000000,1776555815747000000,0
FilePageCache.pageHits,1776555755749000000,1776555815747000000,0
StorageLockContext.competingThreads.max,1776555755749000000,1776555815747000000,0
FilePageCache.pageFastCacheHits,1776555755749000000,1776555815747000000,0
DirectByteBufferAllocator.hits,1776555755749000000,1776555815747000000,0
StreamlinedBlobStorage.recordsRelocated,1776555755749000000,1776555815747000000,0
DirectByteBufferAllocator.reclaimed,1776555755749000000,1776555815747000000,0
FilePageCache.disposedBuffers,1776555755749000000,1776555815747000000,0
FilePageCache.uncachedFileAccess,1776555755749000000,1776555815747000000,0
StreamlinedBlobStorage.recordsAllocated,1776555755749000000,1776555815747000000,0
StorageLockContext.competingThreads.avg,1776555755749000000,1776555815747000000,0.0
DirectByteBufferAllocator.misses,1776555755749000000,1776555815747000000,0
StorageLockContext.competingThreads.90P,1776555755749000000,1776555815747000000,0
VFSFlusher.totalContentionQuotaSpent,1776555755749000000,1776555815747000000,0
VFSFlusher.totalFlushesRetried,1776555755749000000,1776555815747000000,0
Indexes.entries.lookupDurationMaxMs,1776555755749000000,1776555815747000000,0.0
Indexes.allKeys.lookups,1776555755749000000,1776555815747000000,0.0
Indexes.stubs.lookupDurationMaxMs,1776555755749000000,1776555815747000000,0.0
Indexes.entries.lookupDurationAvgMs,1776555755749000000,1776555815747000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1776555755749000000,1776555815747000000,0.0
IndexesFlusher.totalFlushesRetried,1776555755749000000,1776555815747000000,0
Indexes.entries.lookupDuration90PMs,1776555755749000000,1776555815747000000,0.0
Indexes.allKeys.lookupDuration90PMs,1776555755749000000,1776555815747000000,0.0
Indexes.stubs.lookupDurationAvgMs,1776555755749000000,1776555815747000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1776555755749000000,1776555815747000000,0
Indexes.entries.lookups,1776555755749000000,1776555815747000000,0.0
VFSFlusher.totalFlushes,1776555755749000000,1776555815747000000,0
Indexes.stubs.lookupDuration90PMs,1776555755749000000,1776555815747000000,0.0
Indexes.stubs.lookups,1776555755749000000,1776555815747000000,0.0
IndexesFlusher.totalFlushingTimeUs,1776555755749000000,1776555815747000000,431403
Indexes.allKeys.lookupDurationMaxMs,1776555755749000000,1776555815747000000,0.0
IndexesFlusher.totalFlushes,1776555755749000000,1776555815747000000,59
VFSFlusher.totalFlushingTimeUs,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776555755749000000,1776555815747000000,1
workspaceModel.moduleBridge.before.changed.ms,1776555755749000000,1776555815747000000,0
jps.storage.jps.conf.reader.load.component.ms,1776555755749000000,1776555815747000000,7
jps.app.storage.content.writer.save.component.ms,1776555755749000000,1776555815747000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776555755749000000,1776555815747000000,0
workspaceModel.global.apply.state.to.project.ms,1776555755749000000,1776555815747000000,12
jps.facet.change.listener.init.bridge.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776555755749000000,1776555815747000000,6
jps.save.changed.project.entities.ms,1776555755749000000,1776555815747000000,0
jps.load.initial.state.ms,1776555755749000000,1776555815747000000,2
jps.module.iml.entities.serializer.load.entities.ms,1776555755749000000,1776555815747000000,4
jps.app.storage.content.reader.load.component.ms,1776555755749000000,1776555815747000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1776555755749000000,1776555815747000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776555755749000000,1776555815747000000,0
jps.global.get.library.ms,1776555755749000000,1776555815747000000,0
workspaceModel.global.updates.count,1776555755749000000,1776555815747000000,0
jps.save.global.entities.ms,1776555755749000000,1776555815747000000,5
workspaceModel.mutableEntityStorage.add.entity.ms,1776555755749000000,1776555815747000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776555755749000000,1776555815747000000,15
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776555755749000000,1776555815747000000,145
jps.facet.change.listener.process.change.events.ms,1776555755749000000,1776555815747000000,0
jps.artifact.entities.serializer.save.entities.ms,1776555755749000000,1776555815747000000,0
jps.artifact.entities.serializer.load.entities.ms,1776555755749000000,1776555815747000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776555755749000000,1776555815747000000,0
jps.global.handle.changed.events.ms,1776555755749000000,1776555815747000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776555755749000000,1776555815747000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1776555755749000000,1776555815747000000,0
jps.global.handle.before.change.events.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776555755749000000,1776555815747000000,0
jps.load.project.to.empty.storage.ms,1776555755749000000,1776555815747000000,32
workspaceModel.moduleBridge.update.option.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776555755749000000,1776555815747000000,0
workspaceModel.global.updates.ms,1776555755749000000,1776555815747000000,0
jps.apply.loaded.storage.ms,1776555755749000000,1776555815747000000,8
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776555755749000000,1776555815747000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1776555755749000000,1776555815747000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776555755749000000,1776555815747000000,3
jps.project.serializers.save.ms,1776555755749000000,1776555815747000000,0
workspaceModel.save.cache.to.file.ms,1776555755749000000,1776555815747000000,12
workspaceModel.moduleManagerBridge.newModule.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776555755749000000,1776555815747000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776555755749000000,1776555815747000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776555755749000000,1776555815747000000,0
jps.global.get.library.by.name.ms,1776555755749000000,1776555815747000000,0
