# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1776570436389000000,1776570496396000000,3768
FileNameCache.queries,1776570436389000000,1776570496396000000,274952
FileNameCache.fastMisses,1776570436389000000,1776570496396000000,15474
Indexes.stubs.lookupDurationAvgMs,1776570436389000000,1776570496396000000,0.25
IndexesFlusher.totalFlushes,1776570436389000000,1776570496396000000,58
Indexes.allKeys.lookupDurationAvgMs,1776570436389000000,1776570496396000000,0.0
Indexes.entries.lookupDurationAvgMs,1776570436389000000,1776570496396000000,0.32558139534883723
Indexes.allKeys.lookups,1776570436389000000,1776570496396000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1776570436389000000,1776570496396000000,0
Indexes.entries.lookups,1776570436389000000,1776570496396000000,43.0
Indexes.entries.lookupDuration90PMs,1776570436389000000,1776570496396000000,1.0
Indexes.allKeys.lookupDurationMaxMs,1776570436389000000,1776570496396000000,0.0
VFSFlusher.totalFlushingTimeUs,1776570436389000000,1776570496396000000,14013
IndexesFlusher.totalFlushingTimeUs,1776570436389000000,1776570496396000000,469664
Indexes.stubs.lookupDuration90PMs,1776570436389000000,1776570496396000000,1.0
VFSFlusher.totalFlushes,1776570436389000000,1776570496396000000,3
Indexes.stubs.lookupDurationMaxMs,1776570436389000000,1776570496396000000,4.0
Indexes.stubs.lookups,1776570436389000000,1776570496396000000,24.0
Indexes.allKeys.lookupDuration90PMs,1776570436389000000,1776570496396000000,0.0
VFSFlusher.totalContentionQuotaSpent,1776570436389000000,1776570496396000000,0
VFSFlusher.totalFlushesRetried,1776570436389000000,1776570496396000000,0
Indexes.entries.lookupDurationMaxMs,1776570436389000000,1776570496396000000,3.0
IndexesFlusher.totalFlushesRetried,1776570436389000000,1776570496396000000,0
JVM.GC.collections,1776570436389000000,1776570496396000000,27
JVM.usedNativeBytes,1776570436389000000,1776570496396000000,355735624
JVM.totalCpuTimeMs,1776570436389000000,1776570496396000000,34707
JVM.GC.collectionTimesMs,1776570436389000000,1776570496396000000,77
JVM.maxNativeBytes,1776570436389000000,1776570496396000000,-1
JVM.usedHeapBytes,1776570436389000000,1776570496396000000,296285712
JVM.threadCount,1776570436389000000,1776570496396000000,145
OS.loadAverage,1776570436389000000,1776570496396000000,5.87060546875
JVM.maxHeapBytes,1776570436389000000,1776570496396000000,2147483648
DirectByteBufferAllocator.misses,1776570436389000000,1776570496396000000,257
FilePageCache.uncachedFileAccess,1776570436389000000,1776570496396000000,149
DirectByteBufferAllocator.hits,1776570436389000000,1776570496396000000,3
FilePageCache.maxCacheSizeInBytes,1776570436389000000,1776570496396000000,273719296
FilePageCache.totalPageDisposalsUs,1776570436389000000,1776570496396000000,485
FilePageCache.totalPageLoadsUs,1776570436389000000,1776570496396000000,155526
StorageLockContext.competingThreads.90P,1776570436389000000,1776570496396000000,0
FilePageCache.pageFastCacheHits,1776570436389000000,1776570496396000000,21764
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776570436389000000,1776570496396000000,273719296
StreamlinedBlobStorage.recordsAllocated,1776570436389000000,1776570496396000000,5151
FilePageCache.pageLoadsAboveSizeThreshold,1776570436389000000,1776570496396000000,0
StorageLockContext.competingThreads.max,1776570436389000000,1776570496396000000,0
FilePageCache.pageHits,1776570436389000000,1776570496396000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776570436389000000,1776570496396000000,0
DirectByteBufferAllocator.reclaimed,1776570436389000000,1776570496396000000,3
DirectByteBufferAllocator.disposed,1776570436389000000,1776570496396000000,0
FilePageCache.maxRegisteredFiles,1776570436389000000,1776570496396000000,651
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776570436389000000,1776570496396000000,101519
StreamlinedBlobStorage.recordsRelocated,1776570436389000000,1776570496396000000,0
FilePageCache.capacityInBytes,1776570436389000000,1776570496396000000,524288000
FilePageCache.pageLoads,1776570436389000000,1776570496396000000,260
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776570436389000000,1776570496396000000,364475
FilePageCache.disposedBuffers,1776570436389000000,1776570496396000000,3
StorageLockContext.competingThreads.avg,1776570436389000000,1776570496396000000,0.0
StreamlinedBlobStorage.recordsDeleted,1776570436389000000,1776570496396000000,0
FlushQueue.queueSize90P,1776570436389000000,1776570496396000000,73
FlushQueue.tasksExecuted,1776570436389000000,1776570496396000000,5156
NonBlockingReadAction.finalizedExecutionTimeUs,1776570436389000000,1776570496396000000,518714
AWTEventQueue.dispatchTimeTotalNS,1776570436389000000,1776570496396000000,5619837322
AWTEventQueue.dispatchTimeMaxNs,1776570436389000000,1776570496396000000,847249407
FlushQueue.executionTime90PNs,1776570436389000000,1776570496396000000,250879
NonBlockingReadAction.failedExecutionsCount,1776570436389000000,1776570496396000000,4
FlushQueue.executionTimeMaxNs,1776570436389000000,1776570496396000000,316669951
NonBlockingReadAction.finalizedExecutionsCount,1776570436389000000,1776570496396000000,109
NonBlockingReadAction.failedExecutionTimeUs,1776570436389000000,1776570496396000000,82260
AWTEventQueue.dispatchTime90PNs,1776570436389000000,1776570496396000000,259071
AWTEventQueue.dispatchTimeAvgNs,1776570436389000000,1776570496396000000,430870.8949022614
FlushQueue.waitingTime90PNs,1776570436389000000,1776570496396000000,83886079
AWTEventQueue.eventsDispatched,1776570436389000000,1776570496396000000,13045
FlushQueue.executionTimeAvgNs,1776570436389000000,1776570496396000000,446839.3200155159
FlushQueue.waitingTimeAvgNs,1776570436389000000,1776570496396000000,2.9805469157486424E7
