# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1776570196281000000,1776570256290000000,3768
FileNameCache.queries,1776570196281000000,1776570256290000000,267737
FileNameCache.fastMisses,1776570196281000000,1776570256290000000,14931
JVM.GC.collections,1776570196281000000,1776570256290000000,50
JVM.threadCount,1776570196281000000,1776570256290000000,146
JVM.maxNativeBytes,1776570196281000000,1776570256290000000,-1
JVM.usedHeapBytes,1776570196281000000,1776570256290000000,399077504
JVM.usedNativeBytes,1776570196281000000,1776570256290000000,362618784
JVM.totalCpuTimeMs,1776570196281000000,1776570256290000000,44017
JVM.GC.collectionTimesMs,1776570196281000000,1776570256290000000,128
JVM.maxHeapBytes,1776570196281000000,1776570256290000000,2147483648
OS.loadAverage,1776570196281000000,1776570256290000000,2.69580078125
DirectByteBufferAllocator.hits,1776570196281000000,1776570256290000000,18
FilePageCache.pageLoadsAboveSizeThreshold,1776570196281000000,1776570256290000000,0
StreamlinedBlobStorage.recordsRelocated,1776570196281000000,1776570256290000000,0
DirectByteBufferAllocator.reclaimed,1776570196281000000,1776570256290000000,18
FilePageCache.maxCacheSizeInBytes,1776570196281000000,1776570256290000000,273719296
FilePageCache.uncachedFileAccess,1776570196281000000,1776570256290000000,164
StreamlinedBlobStorage.recordsAllocated,1776570196281000000,1776570256290000000,5151
StorageLockContext.competingThreads.avg,1776570196281000000,1776570256290000000,0.09322033898305085
DirectByteBufferAllocator.misses,1776570196281000000,1776570256290000000,257
FilePageCache.disposedBuffers,1776570196281000000,1776570256290000000,18
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776570196281000000,1776570256290000000,0
FilePageCache.pageHits,1776570196281000000,1776570256290000000,0
FilePageCache.totalPageDisposalsUs,1776570196281000000,1776570256290000000,261
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776570196281000000,1776570256290000000,273719296
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776570196281000000,1776570256290000000,101519
FilePageCache.capacityInBytes,1776570196281000000,1776570256290000000,524288000
FilePageCache.totalPageLoadsUs,1776570196281000000,1776570256290000000,131750
FilePageCache.maxRegisteredFiles,1776570196281000000,1776570256290000000,651
FilePageCache.pageFastCacheHits,1776570196281000000,1776570256290000000,21970
StorageLockContext.competingThreads.90P,1776570196281000000,1776570256290000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776570196281000000,1776570256290000000,364475
StorageLockContext.competingThreads.max,1776570196281000000,1776570256290000000,11
FilePageCache.pageLoads,1776570196281000000,1776570256290000000,275
StreamlinedBlobStorage.recordsDeleted,1776570196281000000,1776570256290000000,0
DirectByteBufferAllocator.disposed,1776570196281000000,1776570256290000000,0
FlushQueue.queueSizeMax,1776570196281000000,1776570256290000000,190
FlushQueue.waitingTimeMaxNs,1776570196281000000,1776570256290000000,947912703
FlushQueue.queueSize90P,1776570196281000000,1776570256290000000,76
AWTEventQueue.dispatchTimeAvgNs,1776570196281000000,1776570256290000000,486896.0173877468
FlushQueue.executionTimeMaxNs,1776570196281000000,1776570256290000000,287309823
FlushQueue.waitingTimeAvgNs,1776570196281000000,1776570256290000000,3.184726588760988E7
NonBlockingReadAction.finalizedExecutionsCount,1776570196281000000,1776570256290000000,96
NonBlockingReadAction.failedExecutionTimeUs,1776570196281000000,1776570256290000000,904
FlushQueue.tasksExecuted,1776570196281000000,1776570256290000000,4778
FlushQueue.waitingTime90PNs,1776570196281000000,1776570256290000000,91226111
FlushQueue.executionTimeAvgNs,1776570196281000000,1776570256290000000,422578.929886982
AWTEventQueue.dispatchTimeTotalNS,1776570196281000000,1776570256290000000,9520448034
NonBlockingReadAction.failedExecutionsCount,1776570196281000000,1776570256290000000,2
FlushQueue.queueSizeAvg,1776570196281000000,1776570256290000000,20.896609460025115
AWTEventQueue.dispatchTimeMaxNs,1776570196281000000,1776570256290000000,926941183
NonBlockingReadAction.finalizedExecutionTimeUs,1776570196281000000,1776570256290000000,654453
AWTEventQueue.dispatchTime90PNs,1776570196281000000,1776570256290000000,311295
AWTEventQueue.eventsDispatched,1776570196281000000,1776570256290000000,19554
FlushQueue.executionTime90PNs,1776570196281000000,1776570256290000000,254975
Indexes.stubs.lookups,1776570196281000000,1776570256290000000,24.0
Indexes.entries.lookupDurationAvgMs,1776570196281000000,1776570256290000000,0.3783783783783784
Indexes.allKeys.lookupDurationAvgMs,1776570196281000000,1776570256290000000,0.0
VFSFlusher.totalFlushingTimeUs,1776570196281000000,1776570256290000000,433
VFSFlusher.totalFlushes,1776570196281000000,1776570256290000000,1
IndexesFlusher.totalFlushingTimeUs,1776570196281000000,1776570256290000000,504132
IndexesFlusher.totalFlushes,1776570196281000000,1776570256290000000,58
VFSFlusher.totalContentionQuotaSpent,1776570196281000000,1776570256290000000,0
VFSFlusher.totalFlushesRetried,1776570196281000000,1776570256290000000,0
Indexes.stubs.lookupDurationMaxMs,1776570196281000000,1776570256290000000,7.0
Indexes.entries.lookups,1776570196281000000,1776570256290000000,37.0
Indexes.stubs.lookupDuration90PMs,1776570196281000000,1776570256290000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1776570196281000000,1776570256290000000,0
Indexes.entries.lookupDurationMaxMs,1776570196281000000,1776570256290000000,6.0
IndexesFlusher.totalFlushesRetried,1776570196281000000,1776570256290000000,0
Indexes.allKeys.lookupDurationMaxMs,1776570196281000000,1776570256290000000,0.0
Indexes.allKeys.lookupDuration90PMs,1776570196281000000,1776570256290000000,0.0
Indexes.entries.lookupDuration90PMs,1776570196281000000,1776570256290000000,1.0
Indexes.allKeys.lookups,1776570196281000000,1776570256290000000,0.0
Indexes.stubs.lookupDurationAvgMs,1776570196281000000,1776570256290000000,0.2916666666666667
workspaceModel.collect.changes.ms,1776570196281000000,1776570256290000000,0
workspaceModel.check.recursive.update.ms,1776570196281000000,1776570256290000000,0
workspaceModel.replace.project.model.ms,1776570196281000000,1776570256290000000,0
workspaceModel.loading.total.ms,1776570196281000000,1776570256290000000,44
workspaceModel.init.bridges.ms,1776570196281000000,1776570256290000000,0
workspaceModel.updates.ms,1776570196281000000,1776570256290000000,27
