# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.storage.jps.conf.reader.load.component.ms,1776551847831000000,1776551907841000000,78
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776551847831000000,1776551907841000000,580
jps.module.iml.entities.serializer.load.entities.ms,1776551847831000000,1776551907841000000,32
workspaceModel.delayed.project.synchronizer.sync.ms,1776551847831000000,1776551907841000000,187
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776551847831000000,1776551907841000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776551847831000000,1776551907841000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776551847831000000,1776551907841000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776551847831000000,1776551907841000000,1
jps.global.initialize.library.bridges.ms,1776551847831000000,1776551907841000000,0
jps.reload.project.entities.ms,1776551847831000000,1776551907841000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776551847831000000,1776551907841000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776551847831000000,1776551907841000000,19
workspaceModel.mutableEntityStorage.entities.ms,1776551847831000000,1776551907841000000,0
jps.app.storage.content.writer.save.component.ms,1776551847831000000,1776551907841000000,0
workspaceModel.sync.entities.ms,1776551847831000000,1776551907841000000,0
jps.apply.loaded.storage.ms,1776551847831000000,1776551907841000000,13
jps.facet.change.listener.init.bridge.ms,1776551847831000000,1776551907841000000,0
workspaceModel.moduleBridge.update.option.ms,1776551847831000000,1776551907841000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776551847831000000,1776551907841000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1776551847831000000,1776551907841000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776551847831000000,1776551907841000000,0
jps.global.handle.changed.events.ms,1776551847831000000,1776551907841000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776551847831000000,1776551907841000000,1
workspaceModel.load.cache.from.file.ms,1776551847831000000,1776551907841000000,64
jps.load.initial.state.ms,1776551847831000000,1776551907841000000,5
jps.global.get.library.by.name.ms,1776551847831000000,1776551907841000000,0
jps.global.get.library.ms,1776551847831000000,1776551907841000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1776551847831000000,1776551907841000000,0
workspaceModel.global.apply.state.to.project.ms,1776551847831000000,1776551907841000000,32
