# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFSFlusher.totalContentionQuotaSpent,1776544405378000000,1776544465386000000,0
IndexesFlusher.totalContentionQuotaSpent,1776544405378000000,1776544465386000000,0
VFSFlusher.totalFlushesRetried,1776544405378000000,1776544465386000000,0
IndexesFlusher.totalFlushes,1776544405378000000,1776544465386000000,41
IndexesFlusher.totalFlushingTimeUs,1776544405378000000,1776544465386000000,371544
VFSFlusher.totalFlushingTimeUs,1776544405378000000,1776544465386000000,20646
IndexesFlusher.totalFlushesRetried,1776544405378000000,1776544465386000000,0
VFSFlusher.totalFlushes,1776544405378000000,1776544465386000000,2
StreamlinedBlobStorage.recordsAllocated,1776544405378000000,1776544465386000000,15
FilePageCache.pageLoads,1776544405378000000,1776544465386000000,233
FilePageCache.totalPageLoadsUs,1776544405378000000,1776544465386000000,105508
FilePageCache.pageHits,1776544405378000000,1776544465386000000,0
StorageLockContext.competingThreads.avg,1776544405378000000,1776544465386000000,0.0
DirectByteBufferAllocator.misses,1776544405378000000,1776544465386000000,228
StreamlinedBlobStorage.recordsRelocated,1776544405378000000,1776544465386000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776544405378000000,1776544465386000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1776544405378000000,1776544465386000000,0
FilePageCache.pageFastCacheHits,1776544405378000000,1776544465386000000,15660
FilePageCache.disposedBuffers,1776544405378000000,1776544465386000000,5
StorageLockContext.competingThreads.90P,1776544405378000000,1776544465386000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776544405378000000,1776544465386000000,1050
DirectByteBufferAllocator.disposed,1776544405378000000,1776544465386000000,0
FilePageCache.uncachedFileAccess,1776544405378000000,1776544465386000000,369
StorageLockContext.competingThreads.max,1776544405378000000,1776544465386000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776544405378000000,1776544465386000000,106
DirectByteBufferAllocator.reclaimed,1776544405378000000,1776544465386000000,5
FilePageCache.capacityInBytes,1776544405378000000,1776544465386000000,524288000
FilePageCache.maxCacheSizeInBytes,1776544405378000000,1776544465386000000,244350976
DirectByteBufferAllocator.hits,1776544405378000000,1776544465386000000,5
StreamlinedBlobStorage.recordsDeleted,1776544405378000000,1776544465386000000,0
FilePageCache.maxRegisteredFiles,1776544405378000000,1776544465386000000,836
FilePageCache.totalPageDisposalsUs,1776544405378000000,1776544465386000000,261
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776544405378000000,1776544465386000000,244350976
FlushQueue.executionTimeMaxNs,1776544405378000000,1776544465386000000,258998271
FlushQueue.queueSizeAvg,1776544405378000000,1776544465386000000,0.7626666666666667
FlushQueue.queueSizeMax,1776544405378000000,1776544465386000000,18
FlushQueue.executionTime90PNs,1776544405378000000,1776544465386000000,540671
AWTEventQueue.eventsDispatched,1776544405378000000,1776544465386000000,1904
AWTEventQueue.dispatchTimeMaxNs,1776544405378000000,1776544465386000000,263192575
AWTEventQueue.dispatchTime90PNs,1776544405378000000,1776544465386000000,4161535
AWTEventQueue.dispatchTimeAvgNs,1776544405378000000,1776544465386000000,1231166.638655462
AWTEventQueue.dispatchTimeTotalNS,1776544405378000000,1776544465386000000,2344834654
FlushQueue.waitingTimeMaxNs,1776544405378000000,1776544465386000000,253755391
FlushQueue.waitingTimeAvgNs,1776544405378000000,1776544465386000000,7865708.042666666
FlushQueue.queueSize90P,1776544405378000000,1776544465386000000,1
FlushQueue.executionTimeAvgNs,1776544405378000000,1776544465386000000,1205402.944
FlushQueue.waitingTime90PNs,1776544405378000000,1776544465386000000,1720319
FlushQueue.tasksExecuted,1776544405378000000,1776544465386000000,375
FileNameCache.fastMisses,1776544405378000000,1776544465386000000,13
FileNameCache.queries,1776544405378000000,1776544465386000000,467
FileNameCache.totalMisses,1776544405378000000,1776544465386000000,13
jps.global.get.library.by.name.ms,1776544405378000000,1776544465386000000,0
jps.load.initial.state.ms,1776544405378000000,1776544465386000000,6
jps.library.entities.serializer.load.entities.ms,1776544405378000000,1776544465386000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776544405378000000,1776544465386000000,0
jps.app.storage.content.reader.load.component.ms,1776544405378000000,1776544465386000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776544405378000000,1776544465386000000,0
jps.save.global.entities.ms,1776544405378000000,1776544465386000000,29
jps.global.get.library.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776544405378000000,1776544465386000000,0
workspaceModel.load.cache.from.file.ms,1776544405378000000,1776544465386000000,0
workspaceModel.save.cache.to.file.ms,1776544405378000000,1776544465386000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776544405378000000,1776544465386000000,0
jps.global.handle.changed.events.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776544405378000000,1776544465386000000,0
workspaceModel.global.updates.count,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776544405378000000,1776544465386000000,0
workspaceModel.sync.entities.ms,1776544405378000000,1776544465386000000,0
jps.global.initialize.library.bridges.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776544405378000000,1776544465386000000,0
jps.global.get.libraries.ms,1776544405378000000,1776544465386000000,0
workspaceModel.global.apply.state.to.project.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776544405378000000,1776544465386000000,0
jps.app.storage.content.writer.save.component.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776544405378000000,1776544465386000000,0
jps.library.entities.serializer.save.entities.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776544405378000000,1776544465386000000,0
jps.global.handle.before.change.events.ms,1776544405378000000,1776544465386000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776544405378000000,1776544465386000000,0
workspaceModel.global.updates.ms,1776544405378000000,1776544465386000000,0
VFSFlusher.totalContentionQuotaSpent,1776544465386000000,1776544525380000000,0
IndexesFlusher.totalContentionQuotaSpent,1776544465386000000,1776544525380000000,0
VFSFlusher.totalFlushesRetried,1776544465386000000,1776544525380000000,0
IndexesFlusher.totalFlushes,1776544465386000000,1776544525380000000,59
IndexesFlusher.totalFlushingTimeUs,1776544465386000000,1776544525380000000,470991
VFSFlusher.totalFlushingTimeUs,1776544465386000000,1776544525380000000,0
IndexesFlusher.totalFlushesRetried,1776544465386000000,1776544525380000000,0
VFSFlusher.totalFlushes,1776544465386000000,1776544525380000000,0
StreamlinedBlobStorage.recordsAllocated,1776544465386000000,1776544525380000000,0
FilePageCache.pageLoads,1776544465386000000,1776544525380000000,0
FilePageCache.totalPageLoadsUs,1776544465386000000,1776544525380000000,0
FilePageCache.pageHits,1776544465386000000,1776544525380000000,0
StorageLockContext.competingThreads.avg,1776544465386000000,1776544525380000000,0.0
DirectByteBufferAllocator.misses,1776544465386000000,1776544525380000000,0
