# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTime90PNs,1776557050950000000,1776557110956000000,195583
FlushQueue.executionTime90PNs,1776557050950000000,1776557110956000000,162815
FlushQueue.waitingTime90PNs,1776557050950000000,1776557110956000000,30670847
NonBlockingReadAction.finalizedExecutionTimeUs,1776557050950000000,1776557110956000000,478279
AWTEventQueue.dispatchTimeMaxNs,1776557050950000000,1776557110956000000,444596223
NonBlockingReadAction.failedExecutionTimeUs,1776557050950000000,1776557110956000000,86780
FlushQueue.executionTimeMaxNs,1776557050950000000,1776557110956000000,327155711
AWTEventQueue.dispatchTimeAvgNs,1776557050950000000,1776557110956000000,294122.9436408495
FlushQueue.waitingTimeAvgNs,1776557050950000000,1776557110956000000,1.728046155627269E7
NonBlockingReadAction.failedExecutionsCount,1776557050950000000,1776557110956000000,8
AWTEventQueue.eventsDispatched,1776557050950000000,1776557110956000000,20671
FlushQueue.queueSizeAvg,1776557050950000000,1776557110956000000,10.021648514185827
FlushQueue.executionTimeAvgNs,1776557050950000000,1776557110956000000,336329.71198063734
FlushQueue.queueSize90P,1776557050950000000,1776557110956000000,37
AWTEventQueue.dispatchTimeTotalNS,1776557050950000000,1776557110956000000,6081437680
NonBlockingReadAction.finalizedExecutionsCount,1776557050950000000,1776557110956000000,220
FlushQueue.waitingTimeMaxNs,1776557050950000000,1776557110956000000,432013311
FlushQueue.tasksExecuted,1776557050950000000,1776557110956000000,7437
FlushQueue.queueSizeMax,1776557050950000000,1776557110956000000,144
workspaceModel.check.recursive.update.ms,1776557050950000000,1776557110956000000,0
workspaceModel.pre.handlers.ms,1776557050950000000,1776557110956000000,0
workspaceModel.init.bridges.ms,1776557050950000000,1776557110956000000,0
workspaceModel.loading.from.cache.ms,1776557050950000000,1776557110956000000,104
workspaceModel.initializing.ms,1776557050950000000,1776557110956000000,0
workspaceModel.replace.project.model.ms,1776557050950000000,1776557110956000000,0
workspaceModel.updates.count,1776557050950000000,1776557110956000000,3
workspaceModel.update.unloaded.entities.ms,1776557050950000000,1776557110956000000,0
workspaceModel.to.snapshot.ms,1776557050950000000,1776557110956000000,0
workspaceModel.collect.changes.ms,1776557050950000000,1776557110956000000,0
workspaceModel.updates.ms,1776557050950000000,1776557110956000000,27
workspaceModel.loading.total.ms,1776557050950000000,1776557110956000000,108
workspaceModel.updates.precise.ms,1776557050950000000,1776557110956000000,12
jps.global.get.library.ms,1776557050950000000,1776557110956000000,0
jps.artifact.entities.serializer.save.entities.ms,1776557050950000000,1776557110956000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1776557050950000000,1776557110956000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776557050950000000,1776557110956000000,39
workspaceModel.mutableEntityStorage.referrers.ms,1776557050950000000,1776557110956000000,0
workspaceModel.save.cache.to.file.ms,1776557050950000000,1776557110956000000,18
workspaceModel.global.updates.ms,1776557050950000000,1776557110956000000,0
