# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxHeapBytes,1776547240067000000,1776547300075000000,2147483648
JVM.usedHeapBytes,1776547240067000000,1776547300075000000,312929408
JVM.maxNativeBytes,1776547240067000000,1776547300075000000,-1
OS.loadAverage,1776547240067000000,1776547300075000000,13.34814453125
JVM.threadCount,1776547240067000000,1776547300075000000,133
JVM.totalCpuTimeMs,1776547240067000000,1776547300075000000,29765
JVM.GC.collectionTimesMs,1776547240067000000,1776547300075000000,178
JVM.usedNativeBytes,1776547240067000000,1776547300075000000,339460344
JVM.GC.collections,1776547240067000000,1776547300075000000,24
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1776547240067000000,1776547300075000000,364195
FilePageCache.totalPageDisposalsUs,1776547240067000000,1776547300075000000,565
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776547240067000000,1776547300075000000,275808256
DirectByteBufferAllocator.disposed,1776547240067000000,1776547300075000000,0
DirectByteBufferAllocator.misses,1776547240067000000,1776547300075000000,258
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776547240067000000,1776547300075000000,101421
FilePageCache.pageHits,1776547240067000000,1776547300075000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776547240067000000,1776547300075000000,0
FilePageCache.totalPageLoadsUs,1776547240067000000,1776547300075000000,139100
StorageLockContext.competingThreads.90P,1776547240067000000,1776547300075000000,0
DirectByteBufferAllocator.reclaimed,1776547240067000000,1776547300075000000,3
FilePageCache.disposedBuffers,1776547240067000000,1776547300075000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1776547240067000000,1776547300075000000,0
FilePageCache.pageLoads,1776547240067000000,1776547300075000000,261
StreamlinedBlobStorage.recordsDeleted,1776547240067000000,1776547300075000000,0
