# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationAvgMs,1776547353104000000,1776547413114000000,0.0
Indexes.stubs.lookups,1776547353104000000,1776547413114000000,20.0
Indexes.stubs.lookupDurationMaxMs,1776547353104000000,1776547413114000000,12.0
IndexesFlusher.totalFlushes,1776547353104000000,1776547413114000000,57
IndexesFlusher.totalContentionQuotaSpent,1776547353104000000,1776547413114000000,0
Indexes.entries.lookupDurationMaxMs,1776547353104000000,1776547413114000000,5.0
Indexes.entries.lookupDurationAvgMs,1776547353104000000,1776547413114000000,0.2777777777777778
IndexesFlusher.totalFlushesRetried,1776547353104000000,1776547413114000000,0
Indexes.stubs.lookupDurationAvgMs,1776547353104000000,1776547413114000000,1.55
Indexes.stubs.lookupDuration90PMs,1776547353104000000,1776547413114000000,8.0
Indexes.entries.lookupDuration90PMs,1776547353104000000,1776547413114000000,1.0
Indexes.allKeys.lookupDuration90PMs,1776547353104000000,1776547413114000000,0.0
IndexesFlusher.totalFlushingTimeUs,1776547353104000000,1776547413114000000,809269
VFSFlusher.totalFlushesRetried,1776547353104000000,1776547413114000000,1
VFSFlusher.totalFlushes,1776547353104000000,1776547413114000000,5
VFSFlusher.totalContentionQuotaSpent,1776547353104000000,1776547413114000000,22
VFSFlusher.totalFlushingTimeUs,1776547353104000000,1776547413114000000,15041
Indexes.entries.lookups,1776547353104000000,1776547413114000000,36.0
Indexes.allKeys.lookupDurationMaxMs,1776547353104000000,1776547413114000000,0.0
Indexes.allKeys.lookups,1776547353104000000,1776547413114000000,0.0
FilePageCache.maxRegisteredFiles,1776547353104000000,1776547413114000000,651
FilePageCache.totalPageLoadsUs,1776547353104000000,1776547413114000000,288496
FilePageCache.pageLoadsAboveSizeThreshold,1776547353104000000,1776547413114000000,0
FilePageCache.pageLoads,1776547353104000000,1776547413114000000,274
DirectByteBufferAllocator.misses,1776547353104000000,1776547413114000000,256
StorageLockContext.competingThreads.90P,1776547353104000000,1776547413114000000,0
DirectByteBufferAllocator.reclaimed,1776547353104000000,1776547413114000000,18
FilePageCache.pageFastCacheHits,1776547353104000000,1776547413114000000,22417
FilePageCache.uncachedFileAccess,1776547353104000000,1776547413114000000,164
DirectByteBufferAllocator.hits,1776547353104000000,1776547413114000000,18
FilePageCache.capacityInBytes,1776547353104000000,1776547413114000000,524288000
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776547353104000000,1776547413114000000,273711104
FilePageCache.maxCacheSizeInBytes,1776547353104000000,1776547413114000000,273711104
FilePageCache.disposedBuffers,1776547353104000000,1776547413114000000,18
StreamlinedBlobStorage.recordsAllocated,1776547353104000000,1776547413114000000,5147
StorageLockContext.competingThreads.max,1776547353104000000,1776547413114000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776547353104000000,1776547413114000000,0
StorageLockContext.competingThreads.avg,1776547353104000000,1776547413114000000,0.0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1776547353104000000,1776547413114000000,101422
DirectByteBufferAllocator.disposed,1776547353104000000,1776547413114000000,0
StreamlinedBlobStorage.recordsDeleted,1776547353104000000,1776547413114000000,0
FilePageCache.totalPageDisposalsUs,1776547353104000000,1776547413114000000,268
FilePageCache.pageHits,1776547353104000000,1776547413114000000,0
StreamlinedBlobStorage.recordsRelocated,1776547353104000000,1776547413114000000,0
